Nombre,Documento ,Edad,Semanas_Cotizadas
Lucas,6049354341,62,204
Alejandro,0234002170,18,642
Mateo,7393695702,44,215
Diego,8782081571,33,486
Valentina,9998299969,52,582
Alejandro,9857926765,82,368
Valeria,7964200632,40,712
Isabella,5813981850,45,685
Carlos,4394065572,30,612
Natalia,8042801521,30,679
Alejandro,1846966180,97,775
Mia,5718116730,6,686
Mateo,6018106419,40,263
Isabel,9270852974,1,111
Juliana,5747840754,3,727
Santiago,6721140256,82,245
Natalia,6792408946,7,349
Isabella,1829600371,55,662
Luna,9309326724,16,113
Camila,8023818242,67,157
Juan,9334479334,46,544
Sebastian,0354087719,65,367
Rafael,6686289114,29,224
Sophia,0920016658,27,189
Sebastian,6299078741,48,222
Sophia,1574244465,77,686
Juliana,6492369993,19,371
Lucas,0002262543,87,128
Pedro,1366769040,16,221
Juliana,2607943854,94,275
Gabriela,2690880620,22,204
Camila,1098707172,4,254
Gabriela,8761269785,86,159
Camila,1019403940,86,270
Mateo,4194937147,71,379
Lucas,7329756940,87,377
Juan,4108460199,20,410
Carlos,4188382124,28,416
Mia,1433081219,20,232
Juan,9720097839,27,786
Lucas,8595649140,37,431
Daniel,9575022085,25,261
Gabriela,9012224305,62,194
Camila,3497189638,84,210
Valentina,3643091924,91,423
Valentina,0120230514,88,591
Isabella,2157319787,55,608
Valeria,1814746835,29,489
Mateo,7542005709,50,477
Valeria,4809032150,88,411
Juan,6025983374,20,510
Isabel,3741743807,91,556
Rafael,6239690317,69,335
Santiago,9759467388,80,454
Natalia,3414356238,66,326
Pedro,0463267091,25,104
Lucas,6364374016,0,705
Sebastian,4168821424,88,218
Emma,4947398566,22,206
Pedro,6249568545,23,719
Laura,6771593506,22,477
Laura,2832411855,53,428
Diego,6705977104,65,643
Mia,1029766075,78,437
Samuel,9355344523,25,357
Juliana,0028166784,54,555
Fernando,2727267692,67,198
Andres,5918596662,58,332
Natalia,6930724423,80,654
Valentina,9869460451,5,788
Valentina,1066889040,15,516
Natalia,3181117086,31,499
Rafael,8258706991,42,651
Juan,2945729727,86,213
Mateo,3676212318,35,330
Natalia,6617594279,5,654
Mateo,7139463405,22,760
Sebastian,7159542107,98,755
Emma,1140909848,52,169
Carlos,8091739458,30,617
Juan,9589175473,87,197
Valeria,8088036533,26,679
Santiago,7364727299,60,354
Valentina,3948580245,23,602
Pedro,4324328095,49,432
Maria,7435731757,50,761
Emma,5168262402,66,347
Lucas,9623781470,16,566
Luna,1542963385,87,157
Juan,7318927009,2,705
Diego,9299962512,91,282
Luna,9766426095,94,571
Emma,5870884660,30,623
Camila,2340741114,45,590
Carlos,4483692677,53,634
Catalina,5432959027,76,484
Juan,0316289808,38,296
Valeria,0858191492,87,602
Lucas,9076592709,54,370
Daniel,6842959412,20,486
Carlos,4249695098,8,122
Diego,9303299565,86,527
Valeria,7596409428,16,484
Sebastian,9222967839,22,182
Laura,1826624270,28,372
Natalia,1577465878,50,260
Juan,0463701458,88,344
Santiago,5169757361,12,612
Isabella,5616757488,5,729
Rafael,3926296066,38,575
Juan,4284376022,98,430
Pedro,2275755865,9,718
Luna,7635113841,68,632
Lucas,8284127572,99,507
Isabel,6028196139,33,558
Isabel,8366772749,54,350
Mateo,5804287250,8,650
Isabel,4944555310,35,412
Alejandro,0908506222,34,613
Nicolas,5887081788,53,169
Natalia,8715705061,47,209
Emma,4860785405,29,173
Catalina,1626262488,42,545
Maria,1872154503,66,623
Valentina,0695479488,22,259
Pedro,7506988768,0,517
Valeria,9323134016,87,502
Mateo,8492911710,82,629
Nicolas,0112848492,85,486
Isabella,0042568016,22,333
Samuel,0056025207,72,753
Natalia,0149933493,75,180
Juliana,5641113050,20,138
Andres,6140160953,88,342
Daniel,1087057169,47,679
Mateo,8438878328,64,761
Andres,8435245929,96,461
Santiago,0341519004,69,183
Lucas,2204328706,10,278
Camila,1591007752,54,607
Rafael,7346189505,46,539
Andres,9269704592,61,751
Natalia,1190185264,82,713
Samuel,7411821187,25,575
Fernando,4979957540,34,482
Alejandro,0982610671,50,796
Sebastian,0995120228,50,197
Valeria,2926992823,98,231
Valentina,3085221461,39,743
Isabel,9458427958,66,418
Lucas,3800950350,54,533
Camila,0816472083,5,243
Andres,5289088703,77,628
Isabella,8852510109,2,435
Camila,4751754662,87,265
Natalia,4955341204,99,275
Andres,0818697912,56,382
Emma,6932110409,12,291
Carlos,7660359974,59,705
Isabel,3933703327,86,314
Fernando,2041593289,5,600
Pedro,5415899607,21,106
Valeria,0167203015,87,479
Juan,6654610418,24,667
Carlos,8328299045,98,651
Nicolas,6166087231,27,501
Gabriela,1711223648,39,800
Luna,8846222340,83,632
Daniel,3853356192,71,167
Gabriela,5125999174,96,267
Sophia,2083217894,24,389
Nicolas,8781247413,82,783
Juan,9847996362,62,606
Natalia,7806879185,55,480
Gabriela,6099993604,89,357
Nicolas,3075195781,74,322
Fernando,1233821409,49,616
Valeria,7915853981,57,676
Valentina,5078277254,40,661
Juan,5375538576,6,698
Isabella,4511247082,68,494
Nicolas,2539368788,25,243
Isabel,1151140964,61,516
Natalia,7225755296,1,566
Juliana,7782248354,81,365
Pedro,4309746036,57,136
Mia,0526425965,15,245
Lucas,2164067116,3,474
Carlos,2907686799,43,202
Juliana,8040518776,98,267
Santiago,4399779900,95,428
Sebastian,4207467565,91,317
Mia,7691178032,50,689
Carlos,9964263414,91,201
Andres,5120981491,86,514
Laura,5948411328,81,188
Sophia,7810134755,1,177
Carlos,0730029131,63,133
Valentina,1666404538,43,711
Maria,5055787927,26,632
Isabella,8078036998,59,559
Catalina,0280082174,60,213
Juliana,1119557255,15,662
Mateo,4223904309,42,222
Emma,8548584839,89,540
Camila,0183224414,52,183
Juliana,8111233530,28,680
Valentina,4438960069,49,666
Andres,9859387961,3,414
Nicolas,3281851618,78,193
Daniel,6504666593,29,505
Samuel,6822884584,72,134
Lucas,9336414654,50,182
Pedro,1662173664,8,243
Juan,8741546618,88,788
Santiago,0438970638,21,398
Sophia,7629449601,62,673
Juliana,3144140647,13,795
Samuel,2155141212,49,492
Daniel,1697639130,88,384
Mia,8659285507,16,587
Daniel,6084215873,38,405
Juan,5966473887,24,590
Valeria,2494003764,54,182
Pedro,8289712502,4,716
Luna,0053206201,71,755
Luna,7627325210,82,524
Gabriela,2856283899,67,680
Laura,5650075867,28,543
Sebastian,8371809258,98,227
Emma,5089395898,89,519
Laura,7652701139,81,116
Sebastian,9878725286,43,167
Juliana,5595715575,91,601
Alejandro,5573433469,24,675
Valeria,8097833807,96,113
Sophia,7352795786,30,509
Andres,8043860280,39,735
Isabella,2205505079,72,294
Valentina,9105546740,20,344
Isabel,5686408929,67,782
Isabel,1902354039,83,399
Laura,7383207199,89,155
Laura,0668956480,26,599
Mia,5693127934,21,674
Samuel,1616331550,28,111
Nicolas,5708347715,12,436
Luna,7609032495,63,634
Camila,8438402573,69,312
Valeria,8744336638,10,576
Isabel,9361741875,51,121
Carlos,7631292614,68,245
Isabel,1340834742,48,154
Sebastian,7194254002,42,679
Juan,2036097088,69,442
Sebastian,2236279455,8,754
Gabriela,6629859416,81,233
Gabriela,9391698186,77,248
Andres,9819905791,95,572
Emma,1881056105,26,393
Fernando,8484442774,13,637
Laura,7770392676,14,690
Daniel,5775074341,6,372
Luna,3707415718,89,618
Isabel,3757823651,62,541
Pedro,7175031218,13,532
Fernando,8515509041,42,576
Gabriela,1021036934,52,283
Maria,8307190937,83,683
Catalina,8326105798,93,441
Diego,9482784311,84,119
Pedro,9140466591,2,466
Juan,4171243057,10,613
Diego,4897180403,23,183
Natalia,3585385209,55,184
Samuel,8222231544,71,161
Diego,8620851555,82,546
Carlos,1332720996,57,283
Laura,4777932904,75,131
Juan,5395695844,56,213
Fernando,9362671790,71,726
Nicolas,0704380199,98,261
Andres,3052109180,43,687
Gabriela,3120189482,31,787
Camila,5076228239,17,571
Laura,0021843182,95,455
Natalia,4559271279,100,340
Sebastian,3251870624,63,432
Sophia,7238477640,83,129
Nicolas,0248156611,14,418
Camila,7048276823,27,433
Valeria,8205282807,82,322
Daniel,3916547614,9,346
Emma,5988234652,60,750
Carlos,9588757190,1,366
Camila,4937678525,92,784
Pedro,0742385668,15,502
Carlos,9076419381,39,724
Lucas,8093641934,3,615
Diego,3776386102,72,473
Gabriela,2210666396,66,561
Sebastian,1462682379,72,452
Camila,7589459104,78,780
Sebastian,6538316193,12,330
Sebastian,3944792453,71,629
Rafael,3658371021,9,181
Sophia,1702060337,74,479
Alejandro,5719518342,99,268
Rafael,3618783272,60,247
Pedro,3533063522,0,599
Samuel,5716224037,87,525
Mia,6931564152,17,721
Laura,4949147126,59,722
Valentina,1875518590,44,321
Valentina,4537962685,15,461
Isabella,3793222003,40,158
Natalia,9455447884,63,654
Isabel,8890466443,36,557
Diego,1328914520,42,738
Andres,0837841626,46,403
Valeria,2047242057,36,388
Luna,6823465998,16,400
Alejandro,6426475305,82,139
Valentina,6179360222,43,735
Mia,1364661670,67,289
Sebastian,1328990044,28,426
Sebastian,9206818568,37,532
Camila,2351644307,86,517
Isabella,2382459383,51,223
Sebastian,6942969623,98,790
Emma,9327043495,47,467
Andres,4682750201,3,470
Luna,3738383696,86,537
Fernando,9814327631,63,570
Luna,1714767912,42,136
Gabriela,0587396471,79,352
Juliana,9150731820,81,139
Daniel,6801663948,81,622
Fernando,3924766084,42,799
Daniel,8486167721,70,737
Pedro,4947471947,69,100
Santiago,4603258906,34,275
Laura,5047132419,52,565
Maria,1014914373,27,320
Luna,5796720878,98,208
Lucas,9884267710,23,451
Fernando,3644709431,100,121
Alejandro,3072006151,3,399
Diego,3004204815,38,523
Juan,2790519904,73,276
Rafael,4228940741,68,454
Catalina,4242036341,2,183
Valentina,3113429542,97,682
Pedro,4714724322,44,701
Nicolas,0216651469,44,247
Carlos,6138719103,31,428
Maria,7085762634,57,497
Pedro,4191774786,46,385
Isabel,2578585124,23,255
Mia,8031410158,93,502
Santiago,0105053139,40,590
Sophia,0258792844,70,402
Carlos,9417631256,55,144
Luna,2342908847,67,442
Sebastian,1999210204,89,123
Valentina,2444316321,38,691
Catalina,6761002546,5,525
Camila,3798670500,21,336
Gabriela,2221089868,86,256
Juan,9318882346,5,677
Gabriela,5015501297,30,173
Camila,0500469303,66,288
Laura,0800305326,15,445
Andres,3271331288,18,714
Santiago,7368035658,94,786
Gabriela,5775968416,79,247
Mateo,5806386855,17,455
Juliana,6319508224,64,720
Emma,2060605846,94,320
Sophia,7862471966,16,387
Sebastian,9226225716,6,680
Lucas,8899347333,47,430
Isabella,4420925478,35,316
Fernando,2649390692,70,115
Lucas,3436294358,43,224
Sophia,7010855026,61,594
Valentina,7172185307,22,600
Sebastian,6249411759,16,587
Mia,9138911777,73,242
Sebastian,1362755197,78,443
Alejandro,6738668465,8,522
Carlos,5921243064,27,297
Diego,1047472036,36,236
Natalia,9285089962,47,555
Luna,5428657384,29,481
Laura,0347310262,64,402
Valentina,3232777006,76,676
Isabel,3222951548,20,130
Mia,3365287947,82,629
Gabriela,3583257142,35,246
Daniel,9557885847,82,627
Alejandro,8049018205,39,156
Emma,4364036389,6,263
Santiago,2260641487,54,636
Nicolas,7157119263,60,556
Lucas,4895971092,25,601
Laura,8885577028,88,620
Lucas,6196847837,49,282
Laura,5598759469,64,770
Laura,4623295794,71,661
Emma,5016403991,9,617
Nicolas,9976577686,83,734
Valentina,9759902553,32,637
Isabel,0294486995,78,403
Diego,1277220121,4,290
Juan,3218011130,46,451
Nicolas,2312182423,51,750
Maria,4916720326,34,536
Diego,2068738412,5,277
Lucas,7968092395,65,698
Sebastian,2271533361,45,258
Juan,4120645514,52,174
Carlos,5023081396,70,187
Luna,2684535403,85,284
Emma,0632780211,31,676
Alejandro,4785072366,11,293
Isabel,0133906211,97,417
Gabriela,0371754912,12,349
Laura,9156169831,61,361
Maria,3707868114,50,271
Sebastian,0481875808,93,381
Sophia,3772374087,45,757
Isabella,2773881254,38,480
Sebastian,4025674319,19,607
Daniel,8342889478,81,178
Mateo,8701059950,33,645
Sebastian,7782513331,30,128
Carlos,1802818012,12,750
Luna,1553787244,57,707
Daniel,3156065752,76,505
Santiago,3717261939,76,541
Luna,3037361980,1,103
Lucas,7419960089,45,680
Samuel,5370249403,32,792
Maria,2020921161,74,256
Sophia,3033506321,80,129
Nicolas,4880984109,18,283
Laura,4842634527,12,308
Sophia,1155421795,98,390
Lucas,7635680349,63,529
Emma,1617661326,1,539
Catalina,0804953727,9,129
Juan,5213274262,89,520
Gabriela,8131179100,27,774
Juliana,7238855658,100,125
Natalia,1261315878,34,288
Samuel,3971505892,72,568
Santiago,2635123321,58,260
Isabella,4758480326,87,519
Samuel,1925853269,9,323
Isabel,8722066644,42,243
Valentina,5128752819,40,152
Luna,6211651337,80,327
Sebastian,0906599471,19,386
Sebastian,2032225390,37,525
Emma,8045338182,95,641
Sophia,0173038126,53,298
Juliana,3868103402,80,635
Juliana,1030296334,9,156
Valeria,1840797424,41,710
Isabella,6795111678,14,451
Daniel,8298675977,51,479
Fernando,1824522480,82,798
Diego,2957508387,66,340
Juliana,7985816299,53,305
Nicolas,9111647558,47,638
Emma,1968274740,72,255
Fernando,0855612438,88,639
Carlos,2653181244,15,665
Sophia,6096911156,87,216
Camila,9106733902,11,463
Santiago,3570817381,12,547
Maria,5895637518,81,746
Emma,1799308871,52,677
Lucas,3369240168,93,435
Maria,0582998372,61,529
Pedro,6656108153,16,376
Juliana,7653582368,7,524
Carlos,1817048402,51,791
Santiago,0980842627,21,145
Diego,8039948217,14,120
Mateo,4478897507,79,296
Nicolas,7834787331,33,388
Natalia,4924057927,85,321
Lucas,0219234241,34,799
Santiago,8007507634,26,618
Fernando,3613908621,53,666
Luna,1890694467,21,616
Camila,0423446384,0,136
Valeria,0438933435,20,546
Valentina,9953060436,33,632
Carlos,6875756389,43,597
Daniel,1444711328,40,482
Valeria,0256011659,58,253
Camila,4304878674,70,123
Sophia,2986825254,21,139
Santiago,7679284832,92,715
Fernando,8841519814,45,237
Mia,4224418800,75,126
Samuel,6657009844,37,730
Alejandro,4025206716,60,348
Natalia,1543887568,34,535
Laura,9346980376,74,249
Mateo,8698622425,20,646
Mia,9622584016,90,692
Mia,8350190444,6,614
Nicolas,0282455108,95,459
Valentina,6832787053,66,666
Catalina,9272010589,19,723
Sebastian,1990832691,18,337
Catalina,0314997906,28,560
Lucas,5843491000,32,110
Luna,7343909631,67,300
Camila,8456477678,0,706
Juan,5110873226,18,246
Isabella,3626160998,96,208
Fernando,3707440345,26,608
Juliana,9665691576,48,490
Lucas,1391920580,66,745
Mia,4850182369,41,674
Fernando,0704917183,41,607
Fernando,7157861260,96,224
Alejandro,2739026156,47,671
Mia,2029377511,67,279
Mia,0602956086,11,150
Carlos,4955798486,17,599
Rafael,6155707795,75,140
Samuel,5153312441,41,147
Valentina,0661011770,76,266
Fernando,5439621226,69,138
Mia,0928314231,12,467
Mateo,8844818981,34,741
Laura,6860393941,25,262
Samuel,2096535121,4,644
Isabella,4056445674,27,450
Fernando,3333306295,21,439
Alejandro,1147874814,36,150
Emma,4708113310,96,383
Sophia,3612633641,60,591
Isabel,8287956128,23,263
Mia,8239153026,66,465
Valentina,4948102383,58,641
Andres,2432736719,3,364
Maria,0986401193,73,406
Sophia,4995636011,96,591
Daniel,3009597255,7,323
Isabel,0674880645,62,708
Valentina,7379664244,32,144
Fernando,7697454595,73,533
Gabriela,9388660722,47,338
Juan,6062932653,93,219
Mia,9054835848,7,677
Carlos,5824399354,75,182
Emma,3367746993,62,721
Alejandro,3128650205,48,419
Gabriela,1050347716,66,439
Sebastian,6318608141,80,635
Sebastian,0878327567,75,418
Juliana,3552635205,51,663
Alejandro,2637857935,82,761
Isabella,4076794210,27,679
Alejandro,5249090700,45,786
Samuel,2017536141,82,446
Rafael,0617486595,61,369
Diego,7762207197,70,394
Carlos,0709822760,24,426
Laura,8121695953,53,272
Isabel,1518216378,16,498
Isabella,0168772878,23,163
Emma,2233426789,3,328
Nicolas,3252444955,17,544
Rafael,0101571199,83,472
Mateo,2147385642,99,424
Natalia,5949806872,39,538
Laura,7971028276,85,278
Juan,5759826022,76,469
Laura,9814187448,30,276
Alejandro,1589127044,75,332
Andres,2469083435,21,606
Lucas,5505930328,78,584
Valentina,1521587316,44,330
Sophia,7905635691,29,326
Pedro,6638573097,97,178
Carlos,0795933838,51,464
Luna,1747733163,56,277
Valentina,9685671021,40,670
Maria,3948049921,51,759
Fernando,8153434185,93,184
Samuel,4680111276,95,484
Catalina,5153286513,29,709
Gabriela,8643677376,27,294
Diego,6859942435,97,596
Luna,5746767658,7,278
Lucas,9032892184,22,599
Isabella,0508273558,19,360
Isabel,4356034739,3,142
Mateo,9301493542,90,679
Juan,1139854622,23,782
Sebastian,1673779531,68,641
Maria,8256892813,36,758
Catalina,1127712078,38,645
Camila,2086638891,76,106
Juliana,4169165398,52,523
Isabel,0189576839,68,308
Isabella,4333677491,2,605
Lucas,4323344761,1,309
Mia,7998316083,49,244
Mia,6768855399,91,644
Fernando,9334937777,64,690
Isabel,0724486248,95,750
Diego,2019151195,54,327
Fernando,2780056077,60,429
Valentina,5769837993,99,591
Nicolas,0355774080,4,282
Catalina,1170673819,18,385
Pedro,9524663077,89,329
Juliana,4251554632,47,308
Natalia,0820472692,43,800
Pedro,9746126971,44,121
Isabella,3082333704,23,783
Valentina,5009678317,38,686
Valeria,1049108972,68,516
Camila,3992185890,69,545
Gabriela,7498363200,85,376
Andres,6448927164,83,238
Juliana,0908149295,2,144
Diego,5703409526,93,298
Valentina,0071232068,31,115
Diego,7076256244,82,411
Isabel,6121045300,12,782
Pedro,2683795259,17,480
Rafael,2026200317,71,755
Diego,5117489050,99,657
Diego,2737730907,42,263
Daniel,9742893629,63,632
Valentina,6143786548,88,518
Natalia,5223399438,24,633
Diego,6014792900,27,134
Isabella,8798129975,50,301
Isabel,5513509401,92,403
Fernando,9527812367,46,540
Rafael,9113895363,82,124
Pedro,9846078763,5,248
Natalia,3309806622,16,278
Santiago,4252139459,66,290
Sophia,2509631918,6,616
Sophia,4021274755,50,199
Diego,9317919833,68,760
Laura,8222117685,58,699
Valeria,3801907526,82,192
Mia,8229357848,23,238
Catalina,8228222167,89,422
Luna,8285646665,52,437
Carlos,8103209952,83,254
Diego,5216132331,86,752
Emma,1161226081,9,470
Diego,0256418163,17,148
Juan,8976808509,64,476
Daniel,0480812526,92,457
Isabella,3554198475,94,270
Pedro,7353382383,6,136
Juan,3995479263,69,218
Daniel,1608200881,73,685
Mateo,9138480571,36,427
Natalia,8177557954,29,652
Fernando,4614538264,12,691
Lucas,8064570675,92,445
Maria,8880878666,74,164
Andres,9023157574,4,798
Santiago,1861009957,96,157
Rafael,4016386086,27,734
Samuel,9158592924,18,692
Isabel,7890417994,34,615
Mateo,8159251935,0,361
Alejandro,1369512647,16,462
Alejandro,4726491236,57,681
Laura,6328383352,90,709
Isabel,8720561523,94,664
Rafael,9447474270,71,110
Juliana,1094568226,52,580
Valentina,3168852363,0,414
Andres,4361716346,11,609
Pedro,1904096922,82,148
Isabella,4906691702,98,537
Emma,5395978216,89,769
Sebastian,2523034214,80,122
Nicolas,3250931863,71,739
Andres,1850053676,30,508
Santiago,7900580737,23,177
Alejandro,9184384343,4,592
Maria,3832108437,4,528
Isabella,5413819058,61,762
Maria,8009849039,46,312
Maria,4328828229,86,331
Laura,4031011304,0,750
Luna,2422437109,50,542
Natalia,4275089413,55,347
Catalina,5663138341,94,530
Sebastian,4673616302,92,603
Isabella,2962066973,97,627
Maria,3677414042,15,183
Lucas,1941300457,25,218
Andres,4818503045,69,299
Sebastian,2708083818,46,259
Camila,4534414877,11,320
Santiago,7016742622,66,585
Rafael,5600066943,99,452
Isabel,7931646433,89,634
Catalina,8606942797,98,204
Mia,1199534184,6,211
Daniel,7329591732,76,434
Andres,3792069251,45,272
Carlos,2821586253,0,313
Nicolas,3440287551,77,737
Santiago,6225408537,32,734
Catalina,0495502207,13,731
Sebastian,4972846031,7,363
Pedro,4427154440,92,321
Nicolas,0426240518,17,744
Mateo,0873105955,42,732
Fernando,2105278518,33,484
Rafael,8846852991,91,774
Nicolas,4180974569,41,391
Mia,1583319545,54,161
Mateo,2499780540,44,668
Gabriela,5920675090,46,468
Diego,3631304078,80,766
Fernando,9501495249,54,549
Mateo,1349055701,77,677
Catalina,9916169449,87,251
Samuel,0522804850,41,313
Lucas,2692434289,11,594
Santiago,6655169937,52,683
Lucas,0659911823,35,405
Natalia,6550455418,11,424
Nicolas,1714158908,23,355
Mateo,0027934978,21,486
Mateo,1530370520,21,766
Fernando,4729983812,54,516
Juan,8637342348,63,641
Mateo,3225012197,35,306
Alejandro,1651689509,54,684
Juliana,7970486612,9,339
Isabella,4550391784,15,446
Camila,4748330885,87,196
Pedro,3796516302,47,581
Fernando,3735553032,96,745
Rafael,5066380210,49,304
Sebastian,6380681775,60,737
Emma,0096385298,6,545
Catalina,2477714817,93,419
Pedro,0623327854,51,305
Sophia,7419533805,87,447
Valentina,1664884227,85,133
Camila,3782233541,12,332
Maria,0105583642,10,171
Sophia,1846328503,21,424
Isabel,1787553235,6,287
Valentina,7328920495,48,338
Santiago,2828205573,65,258
Luna,4384544260,23,774
Catalina,2182177759,23,569
Pedro,9708387196,57,300
Maria,1504081188,51,784
Mateo,2322204883,95,164
Samuel,3662486718,32,538
Gabriela,4318016246,94,747
Samuel,4225597220,34,527
Mia,1486989541,14,435
Rafael,1313177314,42,457
Pedro,5901781685,55,185
Mia,7077766565,52,717
Juan,9095283911,96,401
Valeria,8534267715,12,612
Alejandro,4327218929,82,303
Alejandro,0643615816,59,783
Emma,1465623575,75,588
Luna,8373398771,49,155
Gabriela,2384071381,29,624
Andres,1719730113,55,489
Isabella,8843804511,73,518
Valentina,9142058032,4,693
Carlos,4597258774,55,231
Juan,6639740099,76,468
Isabella,6364069928,38,505
Alejandro,0230637564,41,221
Isabella,3913057173,11,277
Diego,4446135016,80,215
Sophia,9148822266,50,375
Camila,1351530619,72,658
Juan,0637555072,67,559
Gabriela,2667601117,58,206
Santiago,6409207737,82,261
Isabella,5001121591,4,725
Carlos,6694724157,7,496
Carlos,1328806725,90,611
Fernando,5003635286,89,307
Luna,5554914624,98,128
Luna,1586927568,54,757
Diego,8164194066,98,166
Catalina,3846415764,82,692
Pedro,7142518771,94,143
Sebastian,6518532940,73,279
Camila,3255216877,73,224
Laura,3165871498,94,441
Isabella,4185880241,66,377
Pedro,5103873381,100,529
Maria,9420620385,33,453
Sebastian,7273753580,99,431
Camila,1798913296,92,800
Natalia,0722901694,29,408
Nicolas,1728369777,27,712
Santiago,8529533422,64,449
Santiago,1920806847,0,126
Sophia,3126905738,80,147
Rafael,8298758702,2,403
Camila,8198103473,11,460
Juan,6515635531,9,411
Camila,1531395433,16,131
Mia,8922627416,13,646
Isabel,1940713578,26,710
Valentina,3191565108,23,411
Isabella,6981867555,35,542
Isabel,4217094082,1,435
Valentina,3942402562,67,239
Isabella,8971792254,86,792
Sophia,1844899812,20,757
Daniel,9890175348,3,285
Valeria,0790347407,64,400
Santiago,9135914537,60,638
Sophia,9988556008,16,564
Juan,2180338727,43,753
Diego,1488791818,15,369
Valentina,6114022356,66,415
Emma,5970345929,0,400
Juliana,9188737584,77,179
Isabel,7142263318,17,204
Valeria,9343279276,76,770
Pedro,8539061265,4,557
Valentina,9733700819,42,495
Mia,3192471462,72,304
Catalina,8294339454,17,444
Emma,4752698039,43,114
Santiago,4091537506,1,726
Carlos,9034955153,63,466
Alejandro,4668496838,17,426
Sophia,5713387293,40,293
Alejandro,7313986213,25,341
Valeria,8197465217,86,614
Carlos,9143173921,85,306
Valentina,2694888433,30,616
Nicolas,9748262505,24,770
Valentina,4475378695,97,146
Juliana,1841187333,73,561
Alejandro,3335272728,18,238
Gabriela,3727339874,69,779
Santiago,4868346082,2,649
Diego,5038838140,82,371
Mateo,0982076528,91,786
Laura,0147954662,82,536
Isabel,4002515121,29,357
Samuel,6749648209,99,300
Valentina,8821924925,59,243
Gabriela,3372316644,88,381
Juan,4852265018,14,395
Mia,4315550135,44,114
Catalina,5310668319,48,674
Catalina,0991732750,63,467
Isabella,3343402894,36,283
Emma,2028328172,8,444
Isabel,1266892110,31,631
Andres,4942172093,10,399
Sophia,3390396411,52,368
Alejandro,5331189814,12,693
Daniel,6433684591,32,720
Rafael,8601674451,93,794
Juan,8724154095,61,121
Emma,1901437340,76,796
Juliana,8908936673,18,199
Maria,0412533793,72,281
Juan,9881012509,5,651
Isabel,7251258147,35,320
Catalina,9760325253,40,598
Daniel,7070018237,98,362
Catalina,6758767348,20,508
Laura,1290023820,98,517
Pedro,4593086339,64,471
Isabella,2315961295,37,731
Isabella,3601152513,35,104
Santiago,0341144914,77,203
Isabel,0174382907,53,567
Andres,6517785074,53,292
Luna,2823198501,39,284
Mia,3230780220,65,671
Rafael,5333717754,73,370
Maria,6187259962,56,560
